SubjID,Subj,List,Run,Confederate,Question,TrialNum,Onset,Condition,Tag,ItemNum,Response,RT
EEG_03032016a,1,1,1,1,1,20,250.8551655,SemAnom,2,2,0,1.438787301
EEG_03032016a,1,1,1,1,1,41,519.9376547,SemAnom,2,6,1,0.916003991
EEG_03032016a,1,1,1,1,1,51,654.8495173,SemAnom,2,10,0,0.900284758
EEG_03032016a,1,1,1,1,1,28,352.8596784,SemAnom,2,14,1,0.481169358
EEG_03032016a,1,1,1,1,1,34,428.1335896,SemAnom,2,18,0,0.891071052
EEG_03032016a,1,1,1,1,1,3,26.8099706,SemAnom,2,22,0,1.484583736
EEG_03032016a,1,1,1,1,1,73,938.5209019,SemAnom,2,26,0,0.202110501
EEG_03032016a,1,1,1,1,1,40,506.595888,SemAnom,2,30,0,0.577196338
EEG_03032016a,1,1,1,1,1,16,195.9821482,SemAnom,2,34,1,1.170974572
EEG_03032016a,1,1,1,1,1,43,545.5858458,SemAnom,2,38,0,0.873999203
EEG_03032016a,1,1,1,1,1,26,326.1761416,SemAnom,2,42,0,1.304539433
EEG_03032016a,1,1,1,1,1,57,729.6998852,SemAnom,2,46,1,0.921133072
EEG_03032016a,1,1,1,1,1,21,263.6557309,SemAnom,2,50,1,1.382462603
EEG_03032016a,1,1,1,1,1,65,832.2573689,SemAnom,2,54,0,1.48686417
EEG_03032016a,1,1,1,1,1,6,67.84707612,SemAnom,2,58,0,1.618992087
EEG_03032016a,1,1,1,1,1,74,952.8980056,SemAnom,2,62,0,0.474036093
EEG_03032016a,1,1,1,1,1,64,820.9862817,SemAnom,2,66,1,1.004781055
EEG_03032016a,1,1,1,1,1,35,441.9930335,SemAnom,2,70,0,1.102348412
EEG_03032016a,1,1,1,1,1,37,469.1589382,SemAnom,2,74,0,0.656346186
EEG_03032016a,1,1,1,1,1,27,337.9648971,SemAnom,2,78,0,0.505813451
EEG_03032016a,1,1,1,1,1,69,886.236232,SemAnom,2,82,0,0.723155132
EEG_03032016a,1,1,1,1,1,13,158.0510664,SemAnom,2,86,0,1.312331856
EEG_03032016a,1,1,1,1,1,32,404.6031399,SemAnom,2,90,0,0.675926265
EEG_03032016a,1,1,1,1,1,5,54.50531122,SemAnom,2,94,1,0.738537318
EEG_03032016a,1,1,1,1,1,19,236.5015932,SemAnom,2,98,0,0.847549412
EEG_03032016a,1,3,3,0,1,8,93.94536934,SemAnom,2,4,0,0.542280656
EEG_03032016a,1,3,3,0,1,45,566.5309721,SemAnom,2,8,0,0.63917851
EEG_03032016a,1,3,3,0,1,54,680.8418925,SemAnom,2,12,0,0.530890413
EEG_03032016a,1,3,3,0,1,22,272.3179517,SemAnom,2,16,0,1.042964259
EEG_03032016a,1,3,3,0,1,40,501.9398646,SemAnom,2,20,0,1.673782435
EEG_03032016a,1,3,3,0,1,62,786.517145,SemAnom,2,24,0,0.63002123
EEG_03032016a,1,3,3,0,1,58,735.2207586,SemAnom,2,28,0,1.042341862
EEG_03032016a,1,3,3,0,1,16,195.4322055,SemAnom,2,32,0,0.503294647
EEG_03032016a,1,3,3,0,1,42,525.9879848,SemAnom,2,36,0,1.286168543
EEG_03032016a,1,3,3,0,1,35,435.7840001,SemAnom,2,40,0,1.247347245
EEG_03032016a,1,3,3,0,1,27,334.791301,SemAnom,2,44,0,1.05066465
EEG_03032016a,1,3,3,0,1,4,40.13123409,SemAnom,2,48,0,0.097417686
EEG_03032016a,1,3,3,0,1,61,773.6930547,SemAnom,2,52,0,1.177585294
EEG_03032016a,1,3,3,0,1,25,309.70784,SemAnom,2,56,1,1.128156726
EEG_03032016a,1,3,3,0,1,57,722.9378627,SemAnom,2,60,1,1.866524831
EEG_03032016a,1,3,3,0,1,37,462.9734371,SemAnom,2,64,0,1.203675389
EEG_03032016a,1,3,3,0,1,68,865.461819,SemAnom,2,68,0,0.352310713
EEG_03032016a,1,3,3,0,1,53,669.0531316,SemAnom,2,72,0,1.462523698
EEG_03032016a,1,3,3,0,1,59,748.0448573,SemAnom,2,76,0,0.586041185
EEG_03032016a,1,3,3,0,1,69,880.3330676,SemAnom,2,80,1,1.106032881
EEG_03032016a,1,3,3,0,1,64,815.7890318,SemAnom,2,84,1,1.121462727
EEG_03032016a,1,3,3,0,1,12,145.2182178,SemAnom,2,88,1,1.712521349
EEG_03032016a,1,3,3,0,1,1,0.105964024,SemAnom,2,92,0,0.161721187
EEG_03032016a,1,3,3,0,1,73,935.2296092,SemAnom,2,96,0,0.608809668
EEG_03032016a,1,3,3,0,1,32,394.7468901,SemAnom,2,100,1,0.889060093
EEG_03032016a,1,1,1,1,1,24,302.6221601,Critical,3,3,0,1.964101217
EEG_03032016a,1,1,1,1,1,33,416.3683678,Critical,3,7,0,0.990449091
EEG_03032016a,1,1,1,1,1,46,585.5876197,Critical,3,11,0,0.94719949
EEG_03032016a,1,1,1,1,1,59,753.7833035,Critical,3,15,0,1.556420498
EEG_03032016a,1,1,1,1,1,48,613.2712016,Critical,3,19,0,0.866913763
EEG_03032016a,1,1,1,1,1,44,558.9040831,Critical,3,23,0,1.003280569
EEG_03032016a,1,1,1,1,1,11,132.4028764,Critical,3,27,0,1.495695672
EEG_03032016a,1,1,1,1,1,2,13.4682074,Critical,3,31,0,0.897008367
EEG_03032016a,1,1,1,1,1,62,793.2909361,Critical,3,35,1,0.924351383
EEG_03032016a,1,1,1,1,1,17,209.300395,Critical,3,39,0,0.970709488
EEG_03032016a,1,1,1,1,1,55,706.6400366,Critical,3,43,0,0.957357365
EEG_03032016a,1,1,1,1,1,39,495.3248043,Critical,3,47,0,1.102815379
EEG_03032016a,1,1,1,1,1,71,911.8844266,Critical,3,51,0,0.890172338
